Name,IRAQ 5.8 01/15/28 CORP
BB ,EF230685 Corp
start,1/1/2006
end,7/3/2013
date,BLP_Z_SPRD_MID
8/1/2008,358.107
8/4/2008,357.297
8/5/2008,353.576
8/6/2008,345.118
8/7/2008,354.503
8/8/2008,355.8
8/11/2008,348.099
8/12/2008,360.523
8/13/2008,356.763
8/14/2008,363.796
8/15/2008,366.034
8/18/2008,367.272
8/19/2008,370.575
8/20/2008,378.273
8/21/2008,380.132
8/22/2008,375.8
8/25/2008,382.43
8/26/2008,387.146
8/27/2008,385.393
8/28/2008,388.896
8/29/2008,389.688
9/1/2008,392.779
9/2/2008,400.965
9/3/2008,404.735
9/4/2008,417.189
9/5/2008,420.106
9/8/2008,414.99
9/9/2008,425.128
9/10/2008,424.721
9/11/2008,431.846
9/12/2008,424.267
9/15/2008,470.208
9/16/2008,487.309
9/17/2008,543.439
9/18/2008,544.626
9/19/2008,499.957
9/22/2008,487.47
9/23/2008,498.665
9/24/2008,499.744
9/25/2008,480.704
9/26/2008,490.691
9/29/2008,498.807
9/30/2008,528.845
10/1/2008,527.455
10/2/2008,539.251
10/3/2008,527.582
10/6/2008,567.068
10/7/2008,598.542
10/8/2008,607.054
10/9/2008,593.091
10/10/2008,695.544
10/14/2008,682.795
10/15/2008,669.549
10/16/2008,728.193
10/17/2008,723.466
10/20/2008,583.127
10/21/2008,613.014
10/22/2008,622.109
10/23/2008,787.089
10/24/2008,540.956
10/27/2008,765.475
10/28/2008,750.798
10/31/2008,860.496
11/3/2008,859.614
11/4/2008,806.946
11/5/2008,851.127
11/6/2008,852.803
11/7/2008,813.625
11/10/2008,816.249
11/11/2008,878.656
11/12/2008,861.11
11/13/2008,922.323
11/14/2008,923.847
11/17/2008,931.833
11/18/2008,918.75
11/19/2008,996.854
11/20/2008,1034.094
11/21/2008,1028.154
11/24/2008,1016.955
11/25/2008,969.677
11/26/2008,1038.072
11/27/2008,1105.061
11/28/2008,1119.946
12/1/2008,1250.489
12/2/2008,1291.508
12/3/2008,1258.944
12/4/2008,1262.622
12/5/2008,1258.072
12/8/2008,1265.92
12/12/2008,1273.477
12/15/2008,1239.718
12/16/2008,1237.822
12/17/2008,1261.733
12/18/2008,1285.81
12/19/2008,1255.449
12/22/2008,1284.82
12/23/2008,1241.661
12/24/2008,1242.857
12/25/2008,1250.002
12/26/2008,1251.792
12/29/2008,1259.563
12/30/2008,1256.052
12/31/2008,1248.899
1/1/2009,1266.815
1/2/2009,1257.446
1/5/2009,1263.617
1/6/2009,1216.578
1/7/2009,1197.289
1/8/2009,1204.128
1/9/2009,1235.543
1/12/2009,1286.393
1/13/2009,1245.385
1/14/2009,1254.161
1/15/2009,1257.153
1/16/2009,1299.698
1/19/2009,1302.344
1/20/2009,1289.299
1/21/2009,1289.913
1/22/2009,1284.197
1/23/2009,1273.915
1/26/2009,1214.35
1/27/2009,1119.064
1/28/2009,1128.667
1/29/2009,1092.628
1/30/2009,1090.704
2/2/2009,1094.686
2/3/2009,1085.401
2/4/2009,1070.7
2/5/2009,1070.001
2/6/2009,1067.414
2/9/2009,1076.878
2/10/2009,1100.457
2/11/2009,1131.395
2/12/2009,1146.431
2/13/2009,1121.156
2/16/2009,1123.354
2/17/2009,1153.358
2/18/2009,1160.856
